ID,Category,Question,All Options,Option_1,Option_2,Option_3,Option_4,Coding_Scheme
TRACKGOV1a_W49,Public Surveillance - Perceptions,"As far as you know, how much of what you do ONLINE or on your cellphone is being tracked by the government?",See questionnaire (multiple options),None of it,All or almost all of it,Most of it,Some of it,"{'None of it': 0, 'Some of it': 1, 'Most of it': 2, 'All or almost all of it': 3}"
TRACKGOV1b_W49,Public Surveillance - Perceptions,"As far as you know, how much of what you do OFFLINE – like where you are or who you are talking to – is being tracked by the government?",See questionnaire (multiple options),None of it,All or almost all of it,Very little of it,Some of it,"{'None of it': 0, 'Very little of it': 1, 'Some of it': 2, 'All or almost all of it': 3}"
CONCERNGOV_W49,Public Surveillance - Attitudes,"How concerned are you, if at all, about how the government is using the data it collects about you?",1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Not too concerned,Not at all concerned,Somewhat concerned,Very concerned,"{'Not at all concerned': 0, 'Not too concerned': 1, 'Somewhat concerned': 2, 'Very concerned': 3}"
BENEFITGOV_W49,Public Surveillance - Attitudes,How much do you feel you personally benefit from the data the government collects about you?,1 A great deal | 2 Some | 3 Very little | 4 None,Very little,Some,A great deal,Refused,"{'Very little': 0, 'Some': 1, 'A great deal': 2, 'Refused': nan}"
CONTROLGOV_W49,Public Surveillance - Perceptions,How much control do you think you have over the data the government collects about you?,1 A great deal | 2 Some | 3 Very little | 4 None,No control,Very little control,Some control,Refused,"{'No control': 0, 'Very little control': 1, 'Some control': 2, 'Refused': nan}"
UNDERSTANDGOV_W49,Public Surveillance - Perceptions,How much do you feel you understand what the government is doing with the data it collects about you?,1 A great deal | 2 Some | 3 Very little | 4 Nothing,Nothing,Very little,Some,A great deal,"{'Nothing': 0, 'Very little': 1, 'Some': 2, 'A great deal': 3}"
POSNEGGOV_W49,Public Surveillance - Attitudes,"On balance, which would you say most accurately describes how you feel about the government collecting your data?",1 Benefits outweigh risks | 2 Risks outweigh benefits,The potential risks of the government collecting data about me and others outweigh the benefits it can provide,The benefits the government can provide by collecting data about me and others outweigh the potential risks,Refused,,"{'The potential risks of the government collecting data about me and others outweigh the benefits it can provide': 0, 'The benefits the government can provide by collecting data about me and others outweigh the potential risks': 1, 'Refused': nan}"
ANONYMOUS1GOV_W49,Public Surveillance - Attitudes,Do you think it is possible to go about daily life today without having the government collect data about you?,1 Yes | 2 No,"Yes, it is possible","No, it is not possible",Refused,,"{'No, it is not possible': 0, 'Yes, it is possible': 1, 'Refused': nan}"
CONCERNGRPa_W49,Group-specific Concerns,How concerned are you about law enforcement agencies knowing about you?,1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Not concerned,Concerned a lot,Concerned a little,Refused,"{'Not concerned': 0, 'Concerned a little': 1, 'Concerned a lot': 2, 'Refused': nan}"
CONCERNGRPb_W49,Group-specific Concerns,How concerned are you about advertisers knowing about you?,1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Concerned a lot,Not concerned,Concerned a little,Refused,"{'Not concerned': 0, 'Concerned a little': 1, 'Concerned a lot': 2, 'Refused': nan}"
CONCERNGRPc_W49,Group-specific Concerns,How concerned are you about your employer knowing about you?,1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Concerned a little,Not concerned,Concerned a lot,Refused,"{'Not concerned': 0, 'Concerned a little': 1, 'Concerned a lot': 2, 'Refused': nan}"
CONCERNGRPd_W49,Group-specific Concerns,How concerned are you about the companies you buy things from knowing about you?,1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Not concerned,Concerned a little,Concerned a lot,Refused,"{'Not concerned': 0, 'Concerned a little': 1, 'Concerned a lot': 2, 'Refused': nan}"
CONCERNGRPe_W49,Group-specific Concerns,How concerned are you about your friends and family knowing about you?,1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Not concerned,Concerned a little,Concerned a lot,Refused,"{'Not concerned': 0, 'Concerned a little': 1, 'Concerned a lot': 2, 'Refused': nan}"
CONCERNGRPf_W49,Group-specific Concerns,How concerned are you about the social media sites you use knowing about you?,1 Very concerned | 2 Somewhat concerned | 3 Not too concerned | 4 Not at all concerned,Concerned a lot,Concerned a little,Not concerned,Refused,"{'Not concerned': 0, 'Concerned a little': 1, 'Concerned a lot': 2, 'Refused': nan}"
PP5a_W49,Privacy Policies & Regulation,How confident are you that companies follow their privacy policies?,1 Very confident | 2 Somewhat confident | 3 Not too confident | 4 Not confident at all,Somewhat confident,Not too confident,Not confident at all,Very confident,"{'Not confident at all': 0, 'Not too confident': 1, 'Somewhat confident': 2, 'Very confident': 3}"
PP5b_W49,Privacy Policies & Regulation,How confident are you that companies promptly notify you if your personal data has been misused or compromised?,1 Very confident | 2 Somewhat confident | 3 Not too confident | 4 Not confident at all,Somewhat confident,Not too confident,Not confident at all,Very confident,"{'Not confident at all': 0, 'Not too confident': 1, 'Somewhat confident': 2, 'Very confident': 3}"
PP5c_W49,Privacy Policies & Regulation,How confident are you that companies publicly admit mistakes and take responsibility when they misuse or compromise your data?,1 Very confident | 2 Somewhat confident | 3 Not too confident | 4 Not confident at all,Somewhat confident,Not confident at all,Not too confident,Very confident,"{'Not confident at all': 0, 'Not too confident': 1, 'Somewhat confident': 2, 'Very confident': 3}"
PP5d_W49,Privacy Policies & Regulation,How confident are you that companies use your personal information in ways you will feel comfortable with?,1 Very confident | 2 Somewhat confident | 3 Not too confident | 4 Not confident at all,Somewhat confident,Not confident at all,Not too confident,Refused,"{'Not confident at all': 0, 'Not too confident': 1, 'Somewhat confident': 2, 'Refused': nan}"
PP5e_W49,Privacy Policies & Regulation,How confident are you that companies will be held accountable by the government if they misuse or compromise your data?,1 Very confident | 2 Somewhat confident | 3 Not too confident | 4 Not confident at all,Somewhat confident,Not confident at all,Not too confident,Very confident,"{'Not confident at all': 0, 'Not too confident': 1, 'Somewhat confident': 2, 'Very confident': 3}"
PP6a_W49,Privacy Policies & Regulation,How comfortable are you with companies using your personal data to improve fraud prevention systems?,1 Very comfortable | 2 Somewhat comfortable | 3 Not too comfortable | 4 Not comfortable at all,Somewhat comfortable,Not too comfortable,Not comfortable at all,Very comfortable,"{'Not comfortable at all': 0, 'Not too comfortable': 1, 'Somewhat comfortable': 2, 'Very comfortable': 3}"
PP6b_W49,Privacy Policies & Regulation,How comfortable are you with companies sharing your personal data with outside groups doing research to help improve society?,1 Very comfortable | 2 Somewhat comfortable | 3 Not too comfortable | 4 Not comfortable at all,Somewhat comfortable,Not too comfortable,Not comfortable at all,Very comfortable,"{'Not comfortable at all': 0, 'Not too comfortable': 1, 'Somewhat comfortable': 2, 'Very comfortable': 3}"
PP6c_W49,Privacy Policies & Regulation,How comfortable are you with companies using your personal data to help them develop new products?,1 Very comfortable | 2 Somewhat comfortable | 3 Not too comfortable | 4 Not comfortable at all,Somewhat comfortable,Not too comfortable,Not comfortable at all,Very comfortable,"{'Not comfortable at all': 0, 'Not too comfortable': 1, 'Somewhat comfortable': 2, 'Very comfortable': 3}"
SHARE1_W49,Privacy Policies & Regulation,Have you recently decided NOT to use a product or service because you were worried about how much personal information would be collected about you?,See questionnaire (multiple options),"No, have not done this","Yes, have done this",Refused,,"{'No, have not done this': 0, 'Yes, have done this': 1, 'Refused': nan}"
PROFILE1_W49,Data Rights & Profiling,"Prior to today, how much had you heard or read about the concept of detailed personal data profiles?",See questionnaire (multiple options),Nothing at all,A little,A lot,Refused,"{'Nothing at all': 0, 'A little': 1, 'A lot': 2, 'Refused': nan}"
