QKEY,DEVICE_TYPE_W49,LANG_W49,FORM_W49,SOCMEDIAUSEa_W49,SOCMEDIAUSEb_W49,SOCMEDIAUSEc_W49,SOCMEDIAUSEd_W49,SNSUSER_W49,ELECTFTGSNSINT_W49,TALKDISASNSINT_W49,TALKCMNSNSINT_W49,SECUR1_W49,PRIVACYNEWS1_W49,HOMEASSIST1_W49,HOMEASSIST2_W49,HOMEASSIST3_W49,HOMEASSIST4_W49,HOMEASSIST5a_W49,HOMEASSIST5b_W49,HOMEIOT_W49,FITTRACK_W49,LOYALTY_W49,DNATEST_W49,TRACKCNT_W49,TRACKCO1a_W49,TRACKCO1b_W49,CONCERNCO_W49,BENEFITCO_W49,CONTROLCO_W49,UNDERSTANDCO_W49,POSNEGCO_W49,ANONYMOUS1CO_W49,TRACKGOV1a_W49,TRACKGOV1b_W49,CONCERNGOV_W49,BENEFITGOV_W49,CONTROLGOV_W49,UNDERSTANDGOV_W49,POSNEGGOV_W49,ANONYMOUS1GOV_W49,CONCERNGRPa_W49,CONCERNGRPb_W49,CONCERNGRPc_W49,CONCERNGRPd_W49,CONCERNGRPe_W49,CONCERNGRPf_W49,CONTROLGRPa_W49,CONTROLGRPb_W49,CONTROLGRPc_W49,CONTROLGRPd_W49,CONTROLGRPe_W49,CONTROLGRPf_W49,PP1_W49,PP2_W49,PP3_W49,PP4_W49,PP5a_W49,PP5b_W49,PP5c_W49,PP5d_W49,PP5e_W49,PP6a_W49,PP6b_W49,PP6c_W49,PRIVACYREG_W49,GOVREGV1_W49,GOVREGV2_W49,SHARE1_W49,KNOW1_W49,KNOW2_W49,KNOW3_W49,KNOW4_W49,KNOW5_W49,KNOW6_W49,KNOW7_W49,KNOW8_W49,KNOW9_W49,KNOW10_W49,TOTALKNOW_W49,PWMAN_W49,PWMAN2_W49,SMARTPHONE_W49,SMARTAPP_W49,PUBLICDATA_W49,RTBFa_W49,RTBFb_W49,RTBFc_W49,RTBFd_W49,RTDa_W49,RTDb_W49,RTDc_W49,RTDd_W49,PROFILE1_W49,PROFILE2_W49,PROFILE3_W49,PROFILE4_W49,PROFILE5_W49,DATAUSEa_W49,DATAUSEb_W49,DATAUSEc_W49,DATAUSEd_W49,DATAUSEe_W49,DATAUSEf_W49,FACE1_W49,FACE2a_W49,FACE2b_W49,FACE2c_W49,FACE3a_W49,FACE3b_W49,FACE3c_W49,FACE4a_W49,FACE4b_W49,FACE4c_W49,FACE4d_W49,DB1a_W49,DB1b_W49,DB1c_W49,F_METRO,F_CREGION,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_RACECMB,F_RACETHN,F_NATIVITY,F_CITIZEN,F_MARITAL,F_RELIG,F_BORN,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME,F_INCOME_RECODE,F_REG,F_IDEO,F_ACSWEB,F_VOLSUM,WEIGHT_W49
100260.0,Tablet,English,Form 2,"No, do not use this","No, do not use this","No, do not use this","No, do not use this",Does not use social media,,,,About the same,Not at all closely,No,,,,,,No,"No, do not wear this","No, do not belong to this","No, have not used this",0.0,,,,,,,,,None of it,None of it,Not too concerned,Very little,No control,Nothing,The potential risks of the government collecting data about me and others outweigh the benefits it can provide,"Yes, it is possible",,,,Not concerned,Not concerned,,,,,A lot of control,A little control,A little control,Less frequently,Never,,,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Very little,,Better tools for allowing people to control their personal information themselves,"No, have not done this",Not sure,Not sure,Not sure,Not sure,All of the above,Not sure,Not sure,Not sure,All of the above,Not sure,1.0,No,Don’t know what that is,Yes,Update them yourself as soon as you are notified a new version is available,Keep things about themselves that might be potentially damaging from being searchable online,,,,,"No, should not have  the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted",Nothing at all,,,,,,,,Unacceptable,Unacceptable,Unacceptable,Nothing at all,,,,,,,,,,,No,No,No,Metropolitan,West,65+,Male,College graduate+,College graduate/some post grad,No,White,White non-Hispanic,U.S.,Yes,Never been married,Nothing in particular,,Seldom,Republican,,Rep/Lean Rep,"$50,000 to less than $75,000","$30-$74,999",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Very conservative,Accesses Internet by paying a cell phone company or Internet service provider,No,0.3087562489
100588.0,Mobile phone,English,Form 1,"Yes, use this","Yes, use this","Yes, use this","No, do not use this",Social media user,I am worn out by how many political posts and discussions I see on social media,Stressful and frustrating,,Less secure,Not too closely,No,,,,,,No,"Yes, wear this","Yes, belong to this","No, have not used this",2.0,Some of it,None of it,Somewhat concerned,Very little,Some control,Very little,The potential risks of companies collecting data about me outweigh the benefits I get,"Yes, it is possible",,,,,,,,,Not concerned,Concerned a lot,Concerned a little,,,,A lot of control,A little control,A little control,,,,About once a week,Sometimes,Glance over it without reading it closely,Very little,Not too confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Not too comfortable,Not too comfortable,Not too comfortable,Very little,More regulation,,"Yes, have done this",Can track your visits and activity on the site,Allowing companies to purchase advertisements on their platforms,Has created a contract between itself and its users about how it will use their data,The site has been verified as trustworthy,In an email,WhatsApp and Instagram,Not sure,The group that runs their company’s internal computer network,All of the above,"Sergey Brin, co-founder of Google",4.0,No,Too expensive,Yes,Update them yourself as soon as you are notified a new version is available,Keep things about themselves that might be potentially damaging from being searchable online,"No, should not be able to remove this from online searches","No, should not be able to remove this from online searches","No, should not be able to remove this from online searches","Yes, should be able to remove this from online searches",,,,,A little,Not sure,Not sure,,,Unacceptable,Unacceptable,Acceptable,,,,Nothing at all,,,,,,,,,,,Yes,No,No,Metropolitan,West,30-49,Female,Some College,Associate's degree,Yes,Or some other race,Hispanic,U.S.,Yes,Married,Roman Catholic,"No, not born-again or evangelical Christian",A few times a year,Democrat,,Dem/Lean Dem,"$50,000 to less than $75,000","$30-$74,999",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Moderate,Accesses Internet by paying a cell phone company or Internet service provider,No,0.4179270943
100637.0,Desktop,English,Form 1,"Yes, use this","No, do not use this","No, do not use this","No, do not use this",Social media user,I am worn out by how many political posts and discussions I see on social media,Stressful and frustrating,,Less secure,Not too closely,Yes,Not concerned at all,No,Somewhat important,No,,No,"No, do not wear this","Yes, belong to this","No, have not used this",2.0,Some of it,Very little of it,Not too concerned,Very little,Very little control,Very little,The potential risks of companies collecting data about me outweigh the benefits I get,"Yes, it is possible",,,,,,,,,Not concerned,Not concerned,Not concerned,,,,No control,No control,No control,,,,Less frequently,Sometimes,Read it all the way through,Some,Not confident at all,Not too confident,Not confident at all,Not confident at all,Not confident at all,Not comfortable at all,Not comfortable at all,Not comfortable at all,Very little,More regulation,,"Yes, have done this",Can see the content of all the files on the device you are using,Allowing companies to purchase advertisements on their platforms,Will not share its users’ personal information with third parties,The site has been verified as trustworthy,All of the above,WhatsApp and Instagram,Internet service providers should treat all traffic on their networks equally,Not sure,Picture of captcha,"Jack Dorsey, co-founder of Twitter",5.0,Yes,,Yes,Set them to update automatically,Keep things about themselves that might be potentially damaging from being searchable online,"No, should not be able to remove this from online searches","Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches",,,,,A lot,Most of them,"Yes, frequently",Somewhat,Not too well,Acceptable,Acceptable,Acceptable,,,,A little,Not too effective,Not too effective,Somewhat effective,Not at all,Not at all,Somewhat,Acceptable,Acceptable,,,Yes,No,No,Metropolitan,South,50-64,Female,Some College,Associate's degree,No,White,White non-Hispanic,U.S.,Yes,Married,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Refo","Yes, born-again or evangelical Christian",Once or twice a month,Independent,The Republican Party,Rep/Lean Rep,"$40,000 to less than $50,000","$30-$74,999",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Very conservative,Accesses Internet by paying a cell phone company or Internet service provider,No,0.5904630049
101224.0,Mobile phone,English,Form 2,"Yes, use this","No, do not use this","No, do not use this","No, do not use this",Social media user,I am worn out by how many political posts and discussions I see on social media,,You have less in common politically than you thought,Less secure,Not at all closely,No,,,,,,No,"No, do not wear this","Yes, belong to this","Yes, have used this",2.0,,,,,,,,,All or almost all of it,All or almost all of it,Not at all concerned,None,No control,Very little,The potential risks of the government collecting data about me and others outweigh the benefits it can provide,"No, it is not possible",,,,Not concerned,Concerned a little,Concerned a lot,,,,No control,No control,A little control,Less frequently,Always,Read it all the way through,Very little,Not too confident,Somewhat confident,Not too confident,Not too confident,Not confident at all,Not too comfortable,Not comfortable at all,Not comfortable at all,Very little,,Stronger laws governing what companies can and cannot do with people’s personal information,"No, have not done this",Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,0.0,No,Don’t need it,Yes,Update them yourself whenever it’s convenient,Keep things about themselves that might be potentially damaging from being searchable online,,,,,"Yes, should have the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted",Nothing at all,,,,,,,,Unacceptable,Unacceptable,Unacceptable,A little,Not too effective,Somewhat effective,Somewhat effective,Not at all,Not too much,Not too much,,,Not sure,Not sure,No,No,No,Metropolitan,South,65+,Male,H.S. graduate or less,High school graduate,No,White,White non-Hispanic,U.S.,Yes,Married,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Refo","Yes, born-again or evangelical Christian",More than once a week,Republican,,Rep/Lean Rep,"$40,000 to less than $50,000","$30-$74,999",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Conservative,Accesses Internet by paying a cell phone company or Internet service provider,Yes,0.3938665346
101322.0,Mobile phone,English,Form 1,"Yes, use this","No, do not use this","No, do not use this","No, do not use this",Social media user,I am worn out by how many political posts and discussions I see on social media,Stressful and frustrating,,Less secure,Not at all closely,No,,,,,,No,"No, do not wear this","Yes, belong to this","No, have not used this",1.0,All or almost all of it,All or almost all of it,Very concerned,None,No control,Nothing,The potential risks of companies collecting data about me outweigh the benefits I get,"No, it is not possible",,,,,,,,,Concerned a lot,Concerned a lot,Not concerned,,,,No control,No control,No control,,,,About once a month,Never,,,Not confident at all,Not confident at all,Not confident at all,Not confident at all,Not confident at all,Not comfortable at all,Not comfortable at all,Not comfortable at all,Not at all,More regulation,,"Yes, have done this",Can track your visits and activity on the site,Not sure,Has created a contract between itself and its users about how it will use their data,Not sure,All of the above,Not sure,Not sure,Not sure,Picture of 2-step code,Not sure,4.0,No,Other reason,Yes,Update them yourself as soon as you are notified a new version is available,Keep things about themselves that might be potentially damaging from being searchable online,"Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches",,,,,A little,All of them,"Yes, frequently",Not too much,Not well at all,Unacceptable,Unacceptable,Unacceptable,,,,A lot,Very effective,Very effective,Very effective,Not at all,Not at all,Not at all,Unacceptable,Unacceptable,,,No,No,No,Metropolitan,South,30-49,Male,H.S. graduate or less,Less than high school,No,White,White non-Hispanic,U.S.,Yes,Never been married,Nothing in particular,,Never,Republican,,Rep/Lean Rep,"$100,000 to less than $150,000","$75,000+",You are NOT registered to vote at your current address,Conservative,Accesses Internet by paying a cell phone company or Internet service provider,No,1.2362726961
101437.0,Desktop,English,Form 2,"Yes, use this","No, do not use this","No, do not use this","No, do not use this",Social media user,I don’t feel strongly about these posts one way or the other,,You have more in common politically than you thought,Less secure,Somewhat closely,No,,,,,,No,"No, do not wear this","Yes, belong to this","No, have not used this",1.0,,,,,,,,,All or almost all of it,Very little of it,Somewhat concerned,None,No control,Very little,The benefits the government can provide by collecting data about me and others outweigh the potential risks,"No, it is not possible",,,,Concerned a little,Not concerned,Concerned a little,,,,A little control,A little control,No control,About once a week,Sometimes,Glance over it without reading it closely,Very little,Not too confident,Not too confident,Not too confident,Not too confident,Not confident at all,Not too comfortable,Not comfortable at all,Not comfortable at all,Very little,,Better tools for allowing people to control their personal information themselves,"Yes, have done this",Can track your visits and activity on the site,Allowing companies to purchase advertisements on their platforms,Has created a contract between itself and its users about how it will use their data,Information entered into the site is encrypted,All of the above,Not sure,Social media platforms must give equal visibility to conservative and liberal points of view,The websites they visit while in private browsing mode,All of the above,Not sure,5.0,No,Don’t know what that is,No,,Keep things about themselves that might be potentially damaging from being searchable online,,,,,"No, should not have  the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted","Yes, should have the right to have this deleted",A little,Most of them,"Yes, on occasion",Not too much,Somewhat well,,,,Not sure,Not sure,Acceptable,A lot,Somewhat effective,Somewhat effective,Somewhat effective,Not too much,Not too much,A great deal,,,Not sure,Acceptable,No,No,No,Non-metropolitan,Midwest,50-64,Female,Some College,Associate's degree,No,White,White non-Hispanic,U.S.,Yes,Divorced,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Refo","Yes, born-again or evangelical Christian",Once a week,Republican,,Rep/Lean Rep,"$10,000 to less than $20,000","<$30,000",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Conservative,Accesses Internet by paying a cell phone company or Internet service provider,No,0.5579541602
101472.0,Mobile phone,English,Form 1,"Yes, use this","No, do not use this","Yes, use this","No, do not use this",Social media user,I am worn out by how many political posts and discussions I see on social media,Stressful and frustrating,,About the same,Somewhat closely,No,,,,,,No,"Yes, wear this","Yes, belong to this","No, have not used this",2.0,Most of it,Very little of it,Somewhat concerned,Very little,Very little control,Very little,The potential risks of companies collecting data about me outweigh the benefits I get,"No, it is not possible",,,,,,,,,Concerned a little,Concerned a little,Concerned a little,,,,A lot of control,A lot of control,A lot of control,,,,Less frequently,Sometimes,Read it part of the way through,Some,Somewhat confident,Not too confident,Not too confident,Somewhat confident,Not too confident,Somewhat comfortable,Not too comfortable,Somewhat comfortable,Some,About the same amount,,"Yes, have done this",Can track your visits and activity on the site,Allowing companies to purchase advertisements on their platforms,Has created a contract between itself and its users about how it will use their data,Information entered into the site is encrypted,All of the above,WhatsApp and Instagram,Internet service providers should treat all traffic on their networks equally,Not sure,Picture of 2-step code,"Jack Dorsey, co-founder of Twitter",9.0,No,Don’t trust them,Yes,Update them yourself whenever it’s convenient,Keep things about themselves that might be potentially damaging from being searchable online,"Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches","No, should not be able to remove this from online searches","Yes, should be able to remove this from online searches",,,,,A little,Most of them,"Yes, on occasion",Somewhat,Somewhat well,Not sure,Unacceptable,Not sure,,,,A little,Somewhat effective,Somewhat effective,Not too effective,Not too much,Not too much,Somewhat,Acceptable,Acceptable,,,No,No,No,Metropolitan,South,30-49,Male,College graduate+,Postgraduate,No,White,White non-Hispanic,U.S.,Yes,Married,Roman Catholic,"No, not born-again or evangelical Christian",Seldom,Independent,The Republican Party,Rep/Lean Rep,"$100,000 to less than $150,000","$75,000+",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Moderate,Accesses Internet by paying a cell phone company or Internet service provider,No,0.3667297212
101493.0,Desktop,English,Form 1,"Yes, use this","No, do not use this","No, do not use this","Yes, use this",Social media user,I am worn out by how many political posts and discussions I see on social media,Stressful and frustrating,,Less secure,Very closely,Yes,Very concerned,"Yes, frequently",Very important,Yes,,Yes,"No, do not wear this","No, do not belong to this","No, have not used this",2.0,All or almost all of it,All or almost all of it,Very concerned,Some,No control,Nothing,The potential risks of companies collecting data about me outweigh the benefits I get,"No, it is not possible",,,,,,,,,Concerned a lot,Concerned a lot,,,,,A little control,A little control,A little control,,,,Almost daily,Never,,,Not confident at all,Not confident at all,Not confident at all,Not confident at all,Not confident at all,Not too comfortable,Not too comfortable,Somewhat comfortable,Very little,About the same amount,,"Yes, have done this",Can track your visits and activity on the site,Providing consulting services to corporate clients,Has created a contract between itself and its users about how it will use their data,Not sure,All of the above,Not sure,The government cannot censor online speech,A coworker who uses the same computer,All of the above,Not sure,4.0,No,Don’t need it,Yes,Set them to update automatically,Keep things about themselves that might be potentially damaging from being searchable online,"No, should not be able to remove this from online searches","Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches",,,,,A lot,All of them,"Yes, on occasion",Somewhat,Not too well,Unacceptable,Acceptable,Unacceptable,,,,A lot,Very effective,Very effective,Very effective,Not at all,Not at all,Not at all,Acceptable,Unacceptable,,,No,No,No,Metropolitan,West,50-64,Male,Some College,"Some college, no degree",Yes,White,Hispanic,U.S.,Yes,Married,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Refo","No, not born-again or evangelical Christian",Never,Republican,,Rep/Lean Rep,"$75,000 to less than $100,000","$75,000+",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Conservative,Accesses Internet by paying a cell phone company or Internet service provider,No,0.3332674837
102198.0,Mobile phone,English,Form 1,"Yes, use this","Yes, use this","No, do not use this","Yes, use this",Social media user,I am worn out by how many political posts and discussions I see on social media,Stressful and frustrating,,Less secure,Not too closely,No,,,,,,No,"No, do not wear this","Yes, belong to this","No, have not used this",1.0,All or almost all of it,Some of it,Somewhat concerned,Very little,Very little control,Some,The potential risks of companies collecting data about me outweigh the benefits I get,"No, it is not possible",,,,,,,,,Not concerned,Concerned a little,Not concerned,,,,A little control,A little control,A lot of control,,,,About once a week,Often,Read it part of the way through,Very little,Somewhat confident,Not too confident,Not too confident,Not too confident,Somewhat confident,Somewhat comfortable,Not comfortable at all,Somewhat comfortable,Very little,More regulation,,"No, have not done this",Can track your visits and activity on the site,Allowing companies to purchase advertisements on their platforms,Has created a contract between itself and its users about how it will use their data,Not sure,All of the above,Twitter and Instagram,Not sure,The group that runs their company’s internal computer network,Picture of 2-step code,Not sure,5.0,No,Don’t know what that is,Yes,Update them yourself whenever it’s convenient,Keep things about themselves that might be potentially damaging from being searchable online,"Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches","No, should not be able to remove this from online searches","Yes, should be able to remove this from online searches",,,,,A little,Some of them,"Yes, frequently",Somewhat,Not too well,Unacceptable,Unacceptable,Unacceptable,,,,A little,Very effective,Somewhat effective,Very effective,Not too much,Somewhat,A great deal,Acceptable,Unacceptable,,,No,No,No,Metropolitan,Northeast,18-29,Female,Some College,"Some college, no degree",No,White,White non-Hispanic,U.S.,Yes,Never been married,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Refo","Yes, born-again or evangelical Christian",More than once a week,Republican,,Rep/Lean Rep,"$100,000 to less than $150,000","$75,000+",You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Conservative,Accesses Internet by paying a cell phone company or Internet service provider,Yes,1.7970827181
103094.0,Mobile phone,English,Form 1,"Yes, use this","Yes, use this","Yes, use this","Yes, use this",Social media user,I am worn out by how many political posts and discussions I see on social media,Stressful and frustrating,,More secure,Not too closely,Yes,Not too concerned,"Yes, on occasion",Very important,Yes,,Yes,"No, do not wear this","No, do not belong to this","No, have not used this",2.0,Some of it,Some of it,Somewhat concerned,Some,Some control,A great deal,The potential risks of companies collecting data about me outweigh the benefits I get,"Yes, it is possible",,,,,,,,,Concerned a little,Concerned a little,,,,,A lot of control,A little control,A little control,,,,About once a month,Always,Read it all the way through,Some,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat comfortable,Somewhat comfortable,Somewhat comfortable,Some,Less regulation,,"Yes, have done this",Will automatically prompt you to update your web browser software if it is out of date,Allowing companies to purchase advertisements on their platforms,Does not retain any personally identifying information about its users,Not sure,In an email,Not sure,Internet service providers should treat all traffic on their networks equally,Not sure,Not sure,Not sure,2.0,Yes,,Yes,Update them yourself whenever it’s convenient,Discover potentially useful information about others,"Yes, should be able to remove this from online searches","No, should not be able to remove this from online searches","Yes, should be able to remove this from online searches","Yes, should be able to remove this from online searches",,,,,A little,Some of them,"Yes, on occasion",Somewhat,Somewhat well,Acceptable,Unacceptable,Acceptable,,,,A little,Somewhat effective,Somewhat effective,Somewhat effective,Not at all,Not at all,Not at all,Not sure,Unacceptable,,,No,No,Yes,Metropolitan,Northeast,30-49,Female,H.S. graduate or less,High school graduate,No,White,White non-Hispanic,U.S.,Yes,Divorced,Roman Catholic,"No, not born-again or evangelical Christian",A few times a year,Democrat,,Dem/Lean Dem,"$20,000 to less than $30,000","<$30,000",You are NOT registered to vote at your current address,Liberal,Accesses Internet by paying a cell phone company or Internet service provider,Yes,0.312524999
