Questions,Option_1,Option_2,Option_3,Option_4
QKEY,100260.0,100588.0,100637.0,101224.0
DEVICE_TYPE_W49,Tablet,Mobile phone,Desktop,
LANG_W49,English,Spanish,,
FORM_W49,Form 2,Form 1,,
SOCMEDIAUSEa_W49,"No, do not use this","Yes, use this",Refused,
SOCMEDIAUSEb_W49,"No, do not use this","Yes, use this",Refused,
SOCMEDIAUSEc_W49,"No, do not use this","Yes, use this",Refused,
SOCMEDIAUSEd_W49,"No, do not use this","Yes, use this",Refused,
SNSUSER_W49,Does not use social media,Social media user,,
ELECTFTGSNSINT_W49,I am worn out by how many political posts and discussions I see on social media,I don’t feel strongly about these posts one way or the other,I like seeing lots of political posts and discussions on social media,Refused
TALKDISASNSINT_W49,Stressful and frustrating,Interesting and informative,Refused,
TALKCMNSNSINT_W49,You have less in common politically than you thought,You have more in common politically than you thought,Refused,
SECUR1_W49,About the same,Less secure,More secure,Refused
PRIVACYNEWS1_W49,Not at all closely,Not too closely,Somewhat closely,Very closely
HOMEASSIST1_W49,No,Yes,Refused,
HOMEASSIST2_W49,Not concerned at all,Very concerned,Not too concerned,Somewhat concerned
HOMEASSIST3_W49,No,"Yes, frequently","Yes, on occasion",Refused
HOMEASSIST4_W49,Somewhat important,Very important,Not too important,Not important at all
HOMEASSIST5a_W49,No,Yes,Refused,
HOMEASSIST5b_W49,No,Yes,Refused,
HOMEIOT_W49,No,Yes,Refused,
FITTRACK_W49,"No, do not wear this","Yes, wear this",Refused,
LOYALTY_W49,"No, do not belong to this","Yes, belong to this",Refused,
DNATEST_W49,"No, have not used this","Yes, have used this",Refused,
TRACKCNT_W49,0.0,2.0,1.0,4.0
TRACKCO1a_W49,Some of it,All or almost all of it,Most of it,Very little of it
TRACKCO1b_W49,None of it,Very little of it,All or almost all of it,Some of it
CONCERNCO_W49,Somewhat concerned,Not too concerned,Very concerned,Not at all concerned
BENEFITCO_W49,Very little,Some,A great deal,Refused
CONTROLCO_W49,Some control,Very little control,No control,A great deal of control
UNDERSTANDCO_W49,Very little,Nothing,Some,A great deal
POSNEGCO_W49,The potential risks of companies collecting data about me outweigh the benefits I get,The benefits I get from companies collecting data about me outweigh the potential risks,Refused,
ANONYMOUS1CO_W49,"Yes, it is possible","No, it is not possible",Refused,
TRACKGOV1a_W49,None of it,All or almost all of it,Most of it,Some of it
TRACKGOV1b_W49,None of it,All or almost all of it,Very little of it,Some of it
