ID,Category,Question,All Options,Option_1,Option_2,Option_3,Option_4,Coding_Scheme
DEVICE_TYPE_W49,Demographics,Device type used to complete the survey (demographic/control variable),See questionnaire (multiple options),Tablet,Mobile phone,Desktop,,"{'Tablet': 0, 'Mobile phone': 1, 'Desktop': 2}"
LANG_W49,Demographics,Survey language used (English or Spanish),See questionnaire (multiple options),English,Spanish,,,"{'English': 0, 'Spanish': 1}"
FORM_W49,Demographics,Form assignment (Form 1 or Form 2),See questionnaire (multiple options),Form 2,Form 1,,,"{'Form 1': 0, 'Form 2': 1}"
SOCMEDIAUSEa_W49,Social Media & Politics,Do you use Facebook?,1 Yes | 2 No,"No, do not use this","Yes, use this",Refused,,"{'No, do not use this': 0, 'Yes, use this': 1, 'Refused': nan}"
SOCMEDIAUSEb_W49,Social Media & Politics,Do you use Instagram?,1 Yes | 2 No,"No, do not use this","Yes, use this",Refused,,"{'No, do not use this': 0, 'Yes, use this': 1, 'Refused': nan}"
SOCMEDIAUSEc_W49,Social Media & Politics,Do you use Twitter?,1 Yes | 2 No,"No, do not use this","Yes, use this",Refused,,"{'No, do not use this': 0, 'Yes, use this': 1, 'Refused': nan}"
SOCMEDIAUSEd_W49,Social Media & Politics,Do you use any other social media sites?,1 Yes | 2 No,"No, do not use this","Yes, use this",Refused,,"{'No, do not use this': 0, 'Yes, use this': 1, 'Refused': nan}"
SNSUSER_W49,Social Media & Politics,Indicator: Yes to at least one SOCMEDIAUSE item,See questionnaire (multiple options),Does not use social media,Social media user,,,"{'Does not use social media': 0, 'Social media user': 1}"
ELECTFTGSNSINT_W49,Social Media & Politics,"Thinking about the posts and discussions you see on social media about politics and the 2020 election, which comes closer to your view?",See questionnaire (multiple options),I am worn out by how many political posts and discussions I see on social media,I don’t feel strongly about these posts one way or the other,I like seeing lots of political posts and discussions on social media,Refused,"{'I am worn out by how many political posts and discussions I see on social media': 0, 'I don’t feel strongly about these posts one way or the other': 1, 'I like seeing lots of political posts and discussions on social media': 2, 'Refused': nan}"
TALKDISASNSINT_W49,Social Media & Politics,"When you talk about politics with people on social media who you DISagree with, do you generally find it to be…",See questionnaire (multiple options),Stressful and frustrating,Interesting and informative,Refused,,"{'Stressful and frustrating': 0, 'Interesting and informative': 1, 'Refused': nan}"
