Question,n_nonnull,n_null,response_rate_pct,n_unique_nonnull
CONTROLCO_W49_num,2136,2133,50.0351370344343,4
CONCERNCO_W49_num,2135,2134,50.01171234481143,4
UNDERSTANDCO_W49_num,2130,2139,49.894588896697115,4
ANONYMOUS1CO_W49_num,2129,2140,49.87116420707426,2
UNDERSTANDGOV_W49_num,2126,2143,49.800890138205666,4
CONCERNGOV_W49_num,2122,2147,49.70719137971422,4
ANONYMOUS1GOV_W49_num,2114,2155,49.51979386273132,2
POSNEGCO_W49_num,2104,2165,49.28554696650269,2
POSNEGGOV_W49_num,2061,2208,48.2782853127196,2
CONTROLGOV_W49_num,2060,2209,48.25486062309675,3
TRACKCO1a_W49_num,2053,2216,48.090887795736705,4
TRACKGOV1b_W49_num,1865,2404,43.68704614663856,4
TRACKGOV1a_W49_num,1798,2471,42.11759194190677,4
TRACKCO1b_W49_num,1715,2554,40.17334270320918,4
BENEFITCO_W49_num,1642,2627,38.463340360740226,3
BENEFITGOV_W49_num,1384,2885,32.419770438041695,3
