Question,answer,count,pct
CONCERNCO_W49_num,<NA>,2134,49.99
CONCERNCO_W49_num,3.0,921,21.57
CONCERNCO_W49_num,4.0,786,18.41
CONCERNCO_W49_num,1.0,368,8.62
CONCERNCO_W49_num,0.0,60,1.41
BENEFITCO_W49_num,<NA>,2627,61.54
BENEFITCO_W49_num,0.0,1064,24.92
BENEFITCO_W49_num,2.0,484,11.34
BENEFITCO_W49_num,4.0,94,2.2
POSNEGCO_W49_num,<NA>,2165,50.71
POSNEGCO_W49_num,0.0,1750,40.99
POSNEGCO_W49_num,4.0,354,8.29
TRACKCO1a_W49_num,<NA>,2216,51.91
TRACKCO1a_W49_num,4.0,881,20.64
TRACKCO1a_W49_num,3.0,703,16.47
TRACKCO1a_W49_num,2.0,381,8.92
TRACKCO1a_W49_num,0.0,88,2.06
TRACKCO1b_W49_num,<NA>,2554,59.83
TRACKCO1b_W49_num,2.0,842,19.72
TRACKCO1b_W49_num,1.0,422,9.89
TRACKCO1b_W49_num,4.0,237,5.55
TRACKCO1b_W49_num,0.0,214,5.01
CONTROLCO_W49_num,<NA>,2133,49.96
CONTROLCO_W49_num,1.0,1134,26.56
CONTROLCO_W49_num,0.0,621,14.55
CONTROLCO_W49_num,3.0,313,7.33
CONTROLCO_W49_num,4.0,68,1.59
UNDERSTANDCO_W49_num,<NA>,2139,50.11
UNDERSTANDCO_W49_num,1.0,1040,24.36
UNDERSTANDCO_W49_num,3.0,716,16.77
UNDERSTANDCO_W49_num,0.0,242,5.67
UNDERSTANDCO_W49_num,4.0,132,3.09
ANONYMOUS1CO_W49_num,<NA>,2140,50.13
ANONYMOUS1CO_W49_num,0.0,1357,31.79
ANONYMOUS1CO_W49_num,4.0,772,18.08
CONCERNGOV_W49_num,<NA>,2147,50.29
CONCERNGOV_W49_num,3.0,820,19.21
CONCERNGOV_W49_num,1.0,561,13.14
CONCERNGOV_W49_num,4.0,552,12.93
CONCERNGOV_W49_num,0.0,189,4.43
BENEFITGOV_W49_num,<NA>,2885,67.58
BENEFITGOV_W49_num,0.0,926,21.69
BENEFITGOV_W49_num,2.0,381,8.92
BENEFITGOV_W49_num,4.0,77,1.8
POSNEGGOV_W49_num,<NA>,2208,51.72
POSNEGGOV_W49_num,0.0,1389,32.54
POSNEGGOV_W49_num,4.0,672,15.74
TRACKGOV1a_W49_num,<NA>,2471,57.88
TRACKGOV1a_W49_num,2.0,671,15.72
TRACKGOV1a_W49_num,3.0,489,11.45
TRACKGOV1a_W49_num,4.0,475,11.13
TRACKGOV1a_W49_num,0.0,163,3.82
TRACKGOV1b_W49_num,<NA>,2404,56.31
TRACKGOV1b_W49_num,2.0,703,16.47
TRACKGOV1b_W49_num,1.0,604,14.15
TRACKGOV1b_W49_num,0.0,351,8.22
TRACKGOV1b_W49_num,4.0,207,4.85
CONTROLGOV_W49_num,<NA>,2209,51.75
CONTROLGOV_W49_num,1.0,923,21.62
CONTROLGOV_W49_num,0.0,908,21.27
CONTROLGOV_W49_num,3.0,229,5.36
UNDERSTANDGOV_W49_num,<NA>,2143,50.2
UNDERSTANDGOV_W49_num,1.0,1149,26.91
UNDERSTANDGOV_W49_num,0.0,541,12.67
UNDERSTANDGOV_W49_num,3.0,354,8.29
UNDERSTANDGOV_W49_num,4.0,82,1.92
ANONYMOUS1GOV_W49_num,<NA>,2155,50.48
ANONYMOUS1GOV_W49_num,0.0,1361,31.88
ANONYMOUS1GOV_W49_num,4.0,753,17.64
